Write successWrite successLeft Mouse Down; Time: 147678.887; Location(873.9, 369.6), Pressure: 1.000
Left Mouse Dragged; Time: 148312.236; Location(734.6, 407.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.244; Location(740.9, 407.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.253; Location(746.9, 405.3), Pressure: 1.000
Left Mouse Dragged; Time: 148312.261; Location(754.7, 401.0), Pressure: 1.000
Left Mouse Dragged; Time: 148312.269; Location(763.0, 395.8), Pressure: 1.000
Left Mouse Dragged; Time: 148312.277; Location(770.5, 389.0), Pressure: 1.000
Left Mouse Dragged; Time: 148312.286; Location(776.6, 382.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.294; Location(782.3, 375.8), Pressure: 1.000
Left Mouse Dragged; Time: 148312.302; Location(787.6, 367.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.310; Location(791.8, 359.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.318; Location(792.8, 356.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.327; Location(794.4, 351.8), Pressure: 1.000
Left Mouse Dragged; Time: 148312.335; Location(796.0, 348.3), Pressure: 1.000
Left Mouse Dragged; Time: 148312.343; Location(796.5, 344.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.352; Location(796.9, 342.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.360; Location(796.9, 338.3), Pressure: 1.000
Left Mouse Dragged; Time: 148312.368; Location(796.9, 335.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.376; Location(795.5, 332.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.384; Location(792.9, 329.6), Pressure: 1.000
Left Mouse Dragged; Time: 148312.393; Location(791.8, 328.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.401; Location(789.5, 326.6), Pressure: 1.000
Left Mouse Dragged; Time: 148312.409; Location(787.3, 325.4), Pressure: 1.000
Left Mouse Dragged; Time: 148312.417; Location(785.6, 324.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.426; Location(781.1, 321.2), Pressure: 1.000
Left Mouse Dragged; Time: 148312.434; Location(779.6, 320.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.442; Location(776.8, 320.4), Pressure: 1.000
Left Mouse Dragged; Time: 148312.450; Location(773.9, 319.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.459; Location(772.4, 319.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.467; Location(770.9, 319.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.475; Location(769.3, 319.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.483; Location(768.7, 320.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.491; Location(768.3, 322.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.500; Location(768.0, 323.1), Pressure: 1.000
Left Mouse Up; Time: 148312.510; Location(768.0, 324.6), Pressure: 0.000
Mouse Moved; Time: 148312.510; Location(768.0, 324.6), Pressure: 0.000
Left Mouse Down; Time: 148312.720; Location(768.0, 324.6), Pressure: 1.000
Left Mouse Up; Time: 148312.810; Location(768.0, 324.6), Pressure: 0.000
Mouse Moved; Time: 148313.014; Location(766.4, 323.4), Pressure: 0.000
Mouse Moved; Time: 148313.022; Location(760.4, 318.7), Pressure: 0.000
Mouse Moved; Time: 148313.030; Location(753.2, 313.0), Pressure: 0.000
Mouse Moved; Time: 148313.039; Location(739.1, 301.7), Pressure: 0.000
Mouse Moved; Time: 148313.047; Location(718.6, 289.9), Pressure: 0.000
Mouse Moved; Time: 148313.055; Location(690.0, 274.9), Pressure: 0.000
Mouse Moved; Time: 148313.063; Location(656.8, 259.0), Pressure: 0.000
Mouse Moved; Time: 148313.072; Location(616.8, 242.5), Pressure: 0.000
Mouse Moved; Time: 148313.080; Location(573.5, 224.5), Pressure: 0.000
Mouse Moved; Time: 148313.088; Location(525.9, 209.2), Pressure: 0.000
Mouse Moved; Time: 148313.096; Location(478.3, 195.4), Pressure: 0.000
Mouse Moved; Time: 148313.105; Location(429.7, 183.6), Pressure: 0.000
Mouse Moved; Time: 148313.113; Location(382.1, 171.3), Pressure: 0.000
Mouse Moved; Time: 148313.121; Location(335.8, 162.3), Pressure: 0.000
Mouse Moved; Time: 148313.129; Location(316.8, 159.3), Pressure: 0.000
Mouse Moved; Time: 148313.137; Location(275.9, 152.3), Pressure: 0.000
Mouse Moved; Time: 148313.146; Location(245.5, 150.0), Pressure: 0.000
Mouse Moved; Time: 148313.154; Location(216.6, 147.6), Pressure: 0.000
Mouse Moved; Time: 148313.162; Location(191.9, 146.4), Pressure: 0.000
Mouse Moved; Time: 148313.170; Location(183.4, 145.7), Pressure: 0.000
Mouse Moved; Time: 148313.179; Location(165.7, 144.8), Pressure: 0.000
Mouse Moved; Time: 148313.187; Location(151.7, 144.8), Pressure: 0.000
Mouse Moved; Time: 148313.195; Location(141.9, 144.8), Pressure: 0.000
Mouse Moved; Time: 148313.203; Location(138.4, 144.3), Pressure: 0.000
Mouse Moved; Time: 148313.212; Location(132.4, 144.3), Pressure: 0.000
Mouse Moved; Time: 148313.220; Location(128.0, 144.3), Pressure: 0.000
Mouse Moved; Time: 148313.228; Location(124.4, 143.8), Pressure: 0.000
Mouse Moved; Time: 148313.236; Location(121.6, 143.3), Pressure: 0.000
Mouse Moved; Time: 148313.245; Location(119.6, 143.3), Pressure: 0.000
Mouse Moved; Time: 148313.253; Location(118.0, 142.9), Pressure: 0.000
Mouse Moved; Time: 148313.261; Location(116.4, 142.5), Pressure: 0.000
Mouse Moved; Time: 148313.269; Location(114.9, 142.2), Pressure: 0.000
Mouse Moved; Time: 148313.277; Location(113.9, 141.8), Pressure: 0.000
Mouse Moved; Time: 148313.286; Location(112.4, 141.4), Pressure: 0.000
Mouse Moved; Time: 148313.294; Location(110.8, 140.7), Pressure: 0.000
Mouse Moved; Time: 148313.302; Location(109.2, 140.3), Pressure: 0.000
Mouse Moved; Time: 148313.310; Location(107.1, 139.4), Pressure: 0.000
Mouse Moved; Time: 148313.319; Location(105.0, 138.6), Pressure: 0.000
Mouse Moved; Time: 148313.327; Location(103.5, 137.8), Pressure: 0.000
Mouse Moved; Time: 148313.335; Location(101.4, 137.4), Pressure: 0.000
Mouse Moved; Time: 148313.343; Location(99.8, 136.6), Pressure: 0.000
Mouse Moved; Time: 148313.351; Location(97.7, 135.8), Pressure: 0.000
