Time: 310337.048; State:  4; ID:  3; absPos(39.620, 31.000); absVel( 1.750, -3.125); Ellipse( 8.86x 7.87); size(0.465)
Time: 310337.056; State:  4; ID:  3; absPos(39.640, 30.980); absVel( 2.000, -2.500); Ellipse( 9.04x 7.66); size(0.477)
Time: 310337.064; State:  4; ID:  3; absPos(39.660, 30.950); absVel( 2.250, -4.125); Ellipse( 9.26x 7.53); size(0.488)
Time: 310337.072; State:  4; ID:  3; absPos(39.680, 30.910); absVel( 2.500, -4.125); Ellipse( 9.15x 7.66); size(0.496)
Time: 310337.080; State:  4; ID:  3; absPos(39.700, 30.880); absVel( 2.250, -4.125); Ellipse( 9.03x 7.80); size(0.496)
Time: 310337.088; State:  4; ID:  3; absPos(39.700, 30.860); absVel( 0.375, -2.375); Ellipse( 9.03x 7.82); size(0.500)
Time: 310337.096; State:  4; ID:  3; absPos(39.700, 30.850); absVel(-0.125, -1.625); Ellipse( 8.81x 7.87); size(0.492)
Time: 310337.104; State:  4; ID:  3; absPos(39.690, 30.840); absVel(-0.750, -0.875); Ellipse( 8.85x 7.98); size(0.492)
Time: 310337.112; State:  4; ID:  3; absPos(39.700, 30.830); absVel( 1.125, -1.250); Ellipse( 8.85x 7.89); size(0.484)
Time: 310337.120; State:  4; ID:  3; absPos(39.710, 30.820); absVel( 0.250, -0.375); Ellipse( 8.96x 8.03); size(0.480)
Time: 310337.128; State:  4; ID:  3; absPos(39.700, 30.830); absVel(-1.250,  0.125); Ellipse( 9.02x 8.12); size(0.465)
Time: 310337.136; State:  4; ID:  3; absPos(39.680, 30.840); absVel(-1.250,  1.500); Ellipse( 9.12x 8.26); size(0.453)
Time: 310337.144; State:  4; ID:  3; absPos(39.660, 30.860); absVel(-3.125,  2.875); Ellipse( 9.02x 8.20); size(0.426)
Time: 310337.152; State:  4; ID:  3; absPos(39.620, 30.890); absVel(-5.500,  3.500); Ellipse( 8.94x 8.16); size(0.402)
Time: 310337.160; State:  4; ID:  3; absPos(39.570, 30.920); absVel(-5.750,  4.125); Ellipse( 8.96x 8.12); size(0.383)
Time: 310337.168; State:  4; ID:  3; absPos(39.510, 30.960); absVel(-7.000,  4.000); Ellipse( 8.97x 8.08); size(0.359)
Time: 310337.176; State:  4; ID:  3; absPos(39.460, 31.000); absVel(-6.250,  5.000); Ellipse( 9.04x 8.11); size(0.242)
Time: 310337.184; State:  5; ID:  3; absPos(39.320, 31.110); absVel(-15.500, 13.000); Ellipse( 9.21x 8.21); size(0.141)
Time: 310337.192; State:  7; ID:  3; absPos(39.320, 31.110); absVel( 0.000,  0.000); Ellipse( 0.00x 0.00); size(0.000)
Time: 310337.276; State:  1; ID:  0; absPos(38.000, 33.360); absVel( 0.000,  0.000); Ellipse(10.05x 7.35); size(0.172)
Time: 310337.284; State:  3; ID:  3; absPos(37.690, 33.450); absVel(-38.750, 11.250); Ellipse( 8.85x 7.78); size(0.438)
Time: 310337.292; State:  4; ID:  3; absPos(37.500, 33.650); absVel(-23.750, 25.000); Ellipse( 8.72x 7.93); size(0.457)
Time: 310337.300; State:  4; ID:  3; absPos(37.360, 33.730); absVel(-17.500, 10.000); Ellipse( 8.71x 8.03); size(0.477)
Time: 310337.308; State:  4; ID:  3; absPos(37.310, 33.720); absVel(-11.625,  2.500); Ellipse( 8.63x 8.06); size(0.480)
Time: 310337.316; State:  4; ID:  3; absPos(37.230, 33.630); absVel(-13.875, -9.375); Ellipse( 8.57x 8.11); size(0.480)
Time: 310337.324; State:  4; ID:  3; absPos(37.140, 33.440); absVel(-15.750, -25.125); Ellipse( 8.87x 8.12); size(0.480)
Time: 310337.332; State:  4; ID:  3; absPos(36.900, 33.150); absVel(-34.750, -41.250); Ellipse( 8.85x 8.07); size(0.469)
Time: 310337.340; State:  4; ID:  3; absPos(36.570, 32.790); absVel(-49.375, -53.375); Ellipse( 8.86x 8.12); size(0.469)
